"Area","Name","Address","Phone"
"Tandalja","Mechanic Service","Shivangi Soc, Opp Shree Nidhi Residency Vasna Jakat Naka, Tandalja, Vadodara - 390012","+918044566850"
"Harish Nagar","Mahesh Apartments","G-1, Bahucharaji Road Near Sandesh Press, Harish Nagar, Karelibagh, Vadodara - 390001","+918047844001"
"Atladara","Atladara Mechanic","Atladra, Vadodara - 390012","+918045169674"
"Gorwa","Gorwa Mechanic","Near Bhailal Amin General Hospital, Gorwa Road, Gorwa, Vadodara - 390016","+917942646604"
"Haripura","Silver Square Appt. Mechanic","Shop No - 9-10, Silver Square Appt. 64, Shrinagar Society, Dinesh Mill Road, Haripura, Vadodara - 390020","+918041017867"
"Sama Gam","All Car Service","Near Urmi School, Vadodara - 390024","+918047792746"
"Bhayli","Land Craft Apartment Mechanic","Gf 07, Land Craft Apartment, Opp Banco Company, near Bhayli station, Vadodara - 391410","+918044456738"
"Gorwa","Kamdhenu Estate Mechanic","1-1 Opp Satyanarayan Estate Kamdhenu Estate Gorwa Vadodara, Vadodara - 390016","+918044457236"
"Subhanpura","Vallabhpark Shopping Center Mechanic","D-44, Vallabhpark Shopping Center, Atmajoyti Ashram Road, Subhanpura, Vadodara - 390023","+918044464594"
"Chhani","Ami Motors","Plot No 07, Arun Ind Estate, PVR Cinema Opp Matru Chhaya, Chhani, Vadodara - 390002","+918044016581"
"Pratap Nagar","Patel Estate Mechanic","No. 13, D-1, Patel Estate, Pratap Nagar, Vadodara - 390004","+918044013924"
"Karelibaug","Khaswadi Samsan Road Mechanic","Near Khaswadi Samsan Road, Karelibaug, Vadodara - 390018","+918044566454"
"Manjalpur","Sagar Auto Garage","Shop No 3, Shreeji Complex, Near Manjalpur Crossing, Manjalpur, Vadodara - 390011","+919824523450"
"Makarpura","Shreeji Auto Garage","12, GIDC, Opposite Makarpura Bus Depot, Makarpura, Vadodara - 390010","+919824512345"
"Akota","Akota Auto Works","Shop No 5, Akota Stadium Road, Akota, Vadodara - 390020","+919825678901"
"Fatehgunj","Fatehgunj Auto Garage","Near Fatehgunj Circle, Fatehgunj, Vadodara - 390002","+919825679012"
"Nizampura","Nizampura Auto Care","Shop No 8, Near Nizampura Bus Stop, Nizampura, Vadodara - 390002","+919825680123"
"Alkapuri","Alkapuri Car Care","GF-2, Race Course Tower, Alkapuri, Vadodara - 390007","+919825681234"
"Ajwa Road","Ajwa Road Auto Garage","Shop No 4, Near Ajwa Road Circle, Ajwa Road, Vadodara - 390019","+919825682345"
"Gotri","Gotri Auto Garage","Shop No 6, Gotri Road, Gotri, Vadodara - 390021","+919825683456"
"Vasna Road","Vasna Road Auto Care","Shop No 2, Vasna Road, Vasna, Vadodara - 390015","+919825684567"
"Waghodia Road","Waghodia Road Auto Garage","Shop No 9, Waghodia Road, Vadodara - 390019","+919825685678"
"Old Padra Rd","Padra Road Auto Garage","Shop No 11, Old Padra Road, Vadodara - 390020","+919825686789"
"Sayajigunj","Sayajigunj Auto Care","Shop No 15, Sayajigunj, Vadodara - 390020","+919825687890"
"Dandia Bazar","Dandia Bazar Auto Garage","Shop No 10, Dandia Bazar, Vadodara - 390001","+919825688901"
"Mandvi","Mandvi Auto Garage","Shop No 7, Mandvi, Vadodara - 390001","+919825689012"
"Raopura","Raopura Auto Garage","Shop No 3, Raopura, Vadodara - 390001","+919825690123"
"Jetalpur","Jetalpur Road Auto Garage","Shop No 5, Jetalpur Road, Vadodara - 390007","+919825691234"
"Akshar Chowk","Akshar Chowk Auto Garage","Shop No 8, Akshar Chowk, Vadodara - 390020","+919825692345"
"Chhani Jakat","Chhani Jakat Naka Auto Garage","Shop No 12, Chhani Jakat Naka, Vadodara - 390002","+919825693456"
"Kalali","Kalali Auto Garage","Shop No 14, Kalali, Vadodara - 390012","+919825694567"
"Gorwa","Om Auto Garage","Shop No 16, Gorwa, Vadodara - 390016","+919825695678"
"Bhayli","Bhayli Auto Garage","Shop No 18, Bhayli, Vadodara - 391410","+919825696789"
"Makarpura","Makarpura GIDC Auto Garage","Shop No 20, Makarpura GIDC, Vadodara - 390010","+919825697890"
"Manjalpur","Manjalpur Auto Garage","Shop No 22, Manjalpur, Vadodara - 390011","+919825698901"
"Karelibaug","Karelibaug Auto Garage","Shop No 24, Karelibaug, Vadodara - 390018","+919825699012"
"Subhanpura","Subhanpura Auto Garage","Shop No 26, Subhanpura, Vadodara - 390023","+919825700123"
"Atladara","Atladara Auto Garage","Shop No 28, Atladara, Vadodara - 390012","+919825701234"
"Gotri","Gotri Road Auto Garage","Shop No 30, Gotri Road, Vadodara - 390021","+919825702345"
"Alkapuri","Alkapuri Auto Garage","Shop No 32, Alkapuri, Vadodara - 390007","+919825703456"
"Fatehgunj","Fatehgunj Road Auto Garage","Shop No 34, Fatehgunj Road, Vadodara - 390002","+919825704567"
"Nizampura","Nizampura Road Auto Garage","Shop No 36, Nizampura Road, Vadodara - 390002","+919825705678"
"Ajwa Road","Ajwa Road Car Care","Shop No 38, Ajwa Road, Vadodara - 390019","+919825706789"
"Vasna Road","Vasna Road Car Care","Shop No 40, Vasna Road, Vadodara - 390015","+919825707890"
"Waghodia Road","Waghodia Road Car Care","Shop No 42, Waghodia Road, Vadodara - 390019","+919825708901"
"Old Padra Rd","Old Padra Road Car Care","Shop No 44, Old Padra Road, Vadodara - 390020","+919825709012"
"Sayajigunj","Sayajigunj Car Care","Shop No 46, Sayajigunj, Vadodara - 390020","+919825710123"
"Dandia Bazar","Dandia Bazar Car Care","Shop No 48, Dandia Bazar, Vadodara - 390001","+919825711234"
"Mandvi","Mandvi Car Care","Shop No 50, Mandvi, Vadodara - 390001","+919825712345"